time,open,high,low,close,volume
1767765600,1.16932,1.16998,1.16729,1.16846,19659
1767780000,1.16846,1.16948,1.16811,1.16917,21481
1767794400,1.16916,1.16988,1.168,1.16879,32567
1767808800,1.1688,1.16904,1.16738,1.16759,11756
1767823200,1.16751,1.16782,1.16728,1.16748,6758
1767837600,1.16748,1.1683,1.16728,1.16825,9752
1767852000,1.16824,1.1683,1.1669,1.16768,19368
1767866400,1.16768,1.1682,1.16583,1.16628,18522
1767880800,1.16627,1.16738,1.16438,1.16508,25505
1767895200,1.16506,1.16628,1.16426,1.16589,12902
1767909600,1.16574,1.16622,1.16484,1.16492,7075
1767924000,1.16493,1.16592,1.1646,1.16511,10803
1767938400,1.16512,1.1653,1.164,1.16426,17309
1767952800,1.16424,1.16608,1.16256,1.16452,28015
1767967200,1.1645,1.16526,1.16182,1.16316,39816
1767981600,1.16318,1.164,1.16296,1.16364,9854
1768168800,1.1633,1.16714,1.16217,1.16562,16073
1768183200,1.16562,1.16712,1.1653,1.16692,10950
1768197600,1.16691,1.16959,1.16643,1.16818,22777
1768212000,1.1682,1.16985,1.16756,1.16929,21202
1768226400,1.16928,1.1693,1.16661,1.16686,26162
1768240800,1.16686,1.1674,1.16631,1.16668,9307
1768255200,1.167,1.16709,1.16562,1.16586,9212
1768269600,1.16586,1.16676,1.16565,1.16628,9665
1768284000,1.16629,1.16726,1.16538,1.1672,18195
1768298400,1.16719,1.1678,1.16502,1.16684,25265
1768312800,1.16684,1.16734,1.16342,1.16462,31445
1768327200,1.16462,1.16546,1.16416,1.16428,12135
1768341600,1.16436,1.16456,1.16368,1.16382,6934
1768356000,1.16382,1.1649,1.16362,1.1642,7456
1768370400,1.1642,1.16538,1.1641,1.16518,17050
1768384800,1.16518,1.166,1.16438,1.165,21632
1768399200,1.16498,1.16618,1.16456,1.16468,31246
1768413600,1.16468,1.16479,1.16353,1.16454,13928
1768428000,1.16469,1.16471,1.16333,1.16386,10167
1768442400,1.16382,1.16415,1.16336,1.16352,9429
1768456800,1.16352,1.164,1.1626,1.16359,20223
1768471200,1.16358,1.16411,1.15988,1.16014,22676
1768485600,1.16013,1.16138,1.15932,1.1609,28396
1768500000,1.1609,1.16176,1.16028,1.16094,12201
1768514400,1.16088,1.16104,1.16024,1.1607,7391
1768528800,1.1607,1.16142,1.1606,1.16067,9750
1768543200,1.16068,1.16153,1.16044,1.16084,16845
1768557600,1.16084,1.16236,1.16082,1.16186,18242
1768572000,1.16188,1.16275,1.15845,1.15957,36920
1768586400,1.15955,1.16023,1.15894,1.15988,11652
1768773600,1.15802,1.16378,1.15782,1.16226,24963
1768788000,1.16227,1.16376,1.16157,1.16276,14564
1768802400,1.16274,1.16415,1.16112,1.16245,21924
1768816800,1.16244,1.16356,1.16202,1.16318,16590
1768831200,1.16317,1.16475,1.16302,1.16458,14717
1768845600,1.16459,1.16489,1.16419,1.1646,3963
1768860000,1.16427,1.1647,1.16326,1.16438,8213
1768874400,1.16438,1.16727,1.16406,1.16632,12183
1768888800,1.16633,1.17328,1.16622,1.17262,35458
1768903200,1.17262,1.17693,1.17153,1.17334,40443
1768917600,1.17334,1.17428,1.17152,1.17316,43483
1768932000,1.17315,1.17341,1.1711,1.17268,19458
1768946400,1.17245,1.17342,1.17166,1.1729,10374
1768960800,1.1729,1.17318,1.17106,1.17174,13702
1768975200,1.17174,1.17254,1.17013,1.17036,21920
1768989600,1.17034,1.1743,1.17016,1.17397,23941
1769004000,1.17398,1.17408,1.16948,1.1703,50814
1769018400,1.17028,1.17053,1.16762,1.16876,25771
1769032800,1.16854,1.16902,1.16698,1.16888,11694
1769047200,1.16888,1.16973,1.16835,1.16882,9717
1769061600,1.16884,1.16974,1.16842,1.16926,20475
1769076000,1.16927,1.17187,1.16866,1.17139,24438
1769090400,1.17138,1.17508,1.17108,1.17464,31683
1769104800,1.17463,1.17566,1.17412,1.17552,11321
1769119200,1.17528,1.17592,1.1747,1.17494,9160
1769133600,1.17493,1.1754,1.17432,1.1751,10493
1769148000,1.1751,1.1753,1.17283,1.17354,30593
1769162400,1.17354,1.17473,1.173,1.17341,18688
1769176800,1.17342,1.1799,1.17319,1.17944,36744
1769191200,1.17944,1.18339,1.17772,1.18277,26905
1769378400,1.18635,1.18977,1.18444,1.18578,33735
1769392800,1.18578,1.18766,1.18554,1.1865,25011
1769407200,1.1865,1.18674,1.18365,1.18637,37519
1769421600,1.18638,1.18653,1.1835,1.1856,26607
1769436000,1.1856,1.19072,1.18526,1.18788,39076
1769450400,1.18788,1.18904,1.18706,1.188,21709
1769464800,1.18767,1.18826,1.18716,1.18788,13784
1769479200,1.18788,1.18996,1.187,1.18766,15118
1769493600,1.18767,1.18898,1.18504,1.18891,26222
1769508000,1.1889,1.19386,1.18742,1.19234,43137
1769522400,1.19234,1.19902,1.19184,1.198,56885
1769536800,1.198,1.20831,1.19712,1.20409,55944
1769551200,1.20395,1.20475,1.19928,1.19929,22780
1769565600,1.19928,1.2005,1.19748,1.1997,21621
1769580000,1.1997,1.20259,1.19704,1.19869,38562
1769594400,1.1987,1.1995,1.1952,1.19576,32767
1769608800,1.19578,1.19776,1.19186,1.1941,65307
1769623200,1.1941,1.19542,1.18958,1.19538,46646
1769637600,1.19556,1.19852,1.19526,1.19614,18603
1769652000,1.19614,1.19938,1.19532,1.19812,19384
1769666400,1.19812,1.19966,1.19515,1.19558,33648
1769680800,1.1956,1.19708,1.19382,1.19562,35356
1769695200,1.19564,1.19725,1.19062,1.19558,84589
1769709600,1.19556,1.19714,1.19458,1.19707,24688
1769724000,1.19693,1.19748,1.19142,1.1917,28717
1769738400,1.19171,1.19351,1.18946,1.19248,39681
1769752800,1.19247,1.19434,1.18982,1.19083,50544
1769767200,1.19078,1.19546,1.19018,1.19128,46022
1769781600,1.19128,1.19213,1.18667,1.18724,67057
1769796000,1.18724,1.1885,1.185,1.18506,40742
1769983200,1.1851,1.18748,1.18398,1.18706,35592
1769997600,1.1871,1.18748,1.1841,1.18508,29302
1770012000,1.18507,1.18668,1.18432,1.18623,46160
1770026400,1.18622,1.18714,1.1818,1.1821,38357
1770040800,1.1821,1.183,1.17904,1.18,58413
1770055200,1.18002,1.18013,1.1776,1.17904,23810
1770069600,1.1788,1.18149,1.17874,1.1814,14994
1770084000,1.18139,1.18168,1.18008,1.18088,16178
1770098400,1.1809,1.18244,1.17921,1.17922,29479
1770112800,1.17922,1.18068,1.17826,1.17961,27428
1770127200,1.17961,1.18292,1.178,1.18162,42805
1770141600,1.18162,1.18254,1.18058,1.1818,20912
